ID,Azimuth,Tilt,Month,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
ID006,195,17.0,November,0.0,0.0,0.0,0.0,0.0,0.0,6.67,140.4,304.46,403.31,490.44,525.7,475.13,366.66,188.62,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID006,195,17.0,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.62,221.64,342.63,421.38,449.7,415.63,303.12,115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.47,76.81,103.48,122.41,135.17,126.95,100.73,60.56,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,February,0.0,0.0,0.0,0.0,0.0,0.0,2.12,56.42,115.74,149.63,173.19,185.48,182.0,147.65,108.18,48.24,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,March,0.0,0.0,0.0,0.0,0.0,1.46,35.26,103.86,162.29,200.17,225.4,233.93,225.6,190.31,144.79,91.93,27.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,April,0.0,0.0,0.0,0.0,0.67,19.44,77.47,144.6,199.36,230.89,251.17,257.83,242.94,205.32,159.04,108.58,49.19,5.34,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,May,0.0,0.0,0.0,0.0,8.45,38.03,93.42,155.39,204.39,232.91,241.69,247.21,235.01,202.58,163.56,115.37,59.98,18.52,1.36,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,June,0.0,0.0,0.0,0.75,13.18,42.55,98.09,159.28,209.56,242.17,254.75,258.12,244.1,217.69,178.68,128.32,71.23,26.44,5.67,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,July,0.0,0.0,0.0,0.0,9.07,36.06,90.52,152.61,205.41,239.11,253.47,258.42,244.47,218.17,181.5,132.09,74.58,26.14,4.4,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,August,0.0,0.0,0.0,0.0,1.44,24.38,79.0,144.67,198.85,235.12,254.5,257.53,246.8,215.45,172.98,119.24,59.54,13.13,0.3,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,September,0.0,0.0,0.0,0.0,0.0,10.13,60.45,121.19,174.67,206.62,224.87,233.96,216.85,183.78,136.4,84.67,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,October,0.0,0.0,0.0,0.0,0.0,0.0,27.13,86.95,130.02,155.66,179.3,189.26,171.27,135.82,90.51,31.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,November,0.0,0.0,0.0,0.0,0.0,0.0,2.44,44.88,84.01,104.07,122.23,128.47,115.0,89.16,46.11,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID007,180,32.0,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,69.89,95.97,111.29,115.64,105.93,77.77,30.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04,79.47,107.07,126.65,139.86,131.36,104.23,62.66,7.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,February,0.0,0.0,0.0,0.0,0.0,0.0,2.19,58.38,119.75,154.82,179.2,191.91,188.32,152.77,111.93,49.91,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,March,0.0,0.0,0.0,0.0,0.0,1.51,36.48,107.47,167.92,207.12,233.22,242.04,233.42,196.92,149.81,95.12,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,April,0.0,0.0,0.0,0.0,0.69,20.12,80.15,149.62,206.28,238.9,259.89,266.77,251.36,212.44,164.56,112.35,50.9,5.52,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,May,0.0,0.0,0.0,0.0,8.74,39.35,96.66,160.78,211.48,240.99,250.07,255.78,243.17,209.61,169.24,119.38,62.06,19.16,1.41,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,June,0.0,0.0,0.0,0.78,13.64,44.02,101.5,164.8,216.83,250.57,263.59,267.07,252.57,225.24,184.88,132.78,73.7,27.35,5.87,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,July,0.0,0.0,0.0,0.0,9.38,37.31,93.66,157.9,212.54,247.41,262.27,267.38,252.95,225.74,187.8,136.68,77.16,27.04,4.56,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,August,0.0,0.0,0.0,0.0,1.49,25.22,81.74,149.69,205.75,243.27,263.33,266.46,255.37,222.92,178.99,123.37,61.61,13.59,0.31,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,September,0.0,0.0,0.0,0.0,0.0,10.49,62.55,125.4,180.73,213.79,232.67,242.08,224.37,190.15,141.14,87.61,23.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,October,0.0,0.0,0.0,0.0,0.0,0.0,28.07,89.97,134.53,161.06,185.53,195.83,177.21,140.53,93.65,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,November,0.0,0.0,0.0,0.0,0.0,0.0,2.52,46.44,86.93,107.69,126.47,132.92,118.99,92.25,47.71,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID008,180,32.0,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.49,72.32,99.3,115.15,119.65,109.6,80.46,31.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
